ueruemqi	CN	13	43.8010	87.6005	3029372
surabaya	ID	08	-7.2492	112.7508	3018022
incheon	KR	12	37.4565	126.7052	3015482
caracas	VE	25	10.4880	-66.8792	3000000
lanzhou	CN	15	36.0570	103.8399	3000000
kyiv	UA	12	50.4547	30.5238	2952301
izmir	TR	35	38.4127	27.1384	2938292
huizhou	CN	30	23.1115	114.4152	2900113
buenos aires	AR	07	-34.6131	-58.3772	2891082
haikou	CN	31	20.0342	110.3465	2873358
taichung	TW	04	24.1469	120.6839	2850285
kanpur	IN	36	26.4652	80.3498	2823249
toronto	CA	08	43.7064	-79.3986	2794356
quito	EC	18	-0.2298	-78.5250	2781641
brisbane	AU	04	-27.4679	153.0281	2780063
luanda	AO	20	-8.8368	13.2343	2776168
osaka	JP	32	34.6938	135.5011	2753862
linyi	CN	25	35.0631	118.3428	2743843
baoding	CN	10	38.8729	115.4625	2739887
kaohsiung	TW	02	22.6163	120.3133	2737660
brooklyn	US	NY	40.6501	-73.9496	2736074
guayaquil	EC	10	-2.1962	-79.8862	2723665
belo horizonte	BR	15	-19.9208	-43.9378	2721564
minhang	CN	23	31.1088	121.3747	2716600
bazhong	CN	32	31.8694	106.7443	2712894
salvador	BR	05	-12.9756	-38.4910	2711840
abuja	NG	11	9.0579	7.4951	2690000
gazipur	BD	81	23.9984	90.4223	2674697
chicago	US	IL	41.8500	-87.6500	2664452
wenzhou	CN	02	27.9994	120.6668	2650000
dakar	SN	01	14.6937	-17.4441	2646503
haiphong	VN	31	20.8648	106.6834	2625200
yunfu	CN	30	22.9279	112.0381	2612800
navi mumbai	IN	16	19.0368	73.0158	2600000
mogadishu	SO	02	2.0371	45.3438	2587183
bekasi	ID	30	-6.2349	106.9896	2564940
kumasi	GH	02	6.6885	-1.6244	2544530
bandung	ID	30	-6.9222	107.6069	2528163
gujranwala	PK	04	32.1557	74.1870	2511118
huai'an	CN	04	33.5886	119.0192	2494013
medan	ID	26	3.5833	98.6667	2486283
lucknow	IN	36	26.8393	80.9231	2472011
ouagadougou	BF	03	12.3657	-1.5339	2415266
nagpur	IN	16	21.1463	79.0849	2405665
fortaleza	BR	06	-3.7172	-38.5431	2400000
cali	CO	29	3.4305	-76.5199	2392877
daegu	KR	15	35.8703	128.5911	2365523
algiers	DZ	01	36.7323	3.0875	2364230
nanchang	CN	03	28.6840	115.8531	2357839
baku	AZ	09	40.3777	49.8920	2351300
hohhot	CN	20	40.8106	111.6522	2350000
nagoya	JP	01	35.1815	136.9064	2332176
rome	IT	07	41.8919	12.5113	2318895
queens	US	NY	40.6815	-73.8365	2316841
houston	US	TX	29.7633	-95.3633	2314157
perth	AU	08	-31.9522	115.8614	2309338
mashhad	IR	42	36.2981	59.6057	2307177
shaoxing	CN	02	30.0024	120.5786	2300000
nantong	CN	04	32.0303	120.8747	2273326
baoshan	CN	23	31.4084	121.4896	2265900
kowloon	HK	00	22.3167	114.1833	2232339
yantai	CN	25	37.4765	121.4408	2227733
gaziantep	TR	83	37.0594	37.3825	2222415
lubumbashi	CD	14	-11.6609	27.4794	2221925
manaus	BR	04	-3.1019	-60.0250	2219580
lusaka	ZM	09	-15.4067	28.2871	2212301
brasilia	BR	07	-15.7797	-47.9297	2207718
zhuhai	CN	30	22.2769	113.5678	2207090
santo domingo	DO	34	18.4719	-69.8923	2201941
lome	TG	24	6.1287	1.2215	2188376
multan	PK	04	30.1968	71.4782	2169915
havana	CU	02	23.1330	-82.3830	2163824
baotou	CN	20	40.6516	109.8439	2150000
depok	ID	30	-6.4000	106.8186	2145400
paris	FR	11	48.8534	2.3488	2138551
coimbatore	IN	25	11.0055	76.9661	2136916
qingyang	CN	15	35.7098	107.6445	2125400
port harcourt	NG	50	4.7774	7.0134	2120000
pretoria	ZA	06	-25.7449	28.1878	2112693
cordoba	AR	05	-31.4065	-64.1885	2106734
mbuji-mayi	CD	04	-6.1360	23.5898	2101332
aleppo	SY	09	36.2012	37.1612	2098210
kunshan	CN	04	31.3776	120.9543	2092496
al mawsil al jadidah	IQ	15	36.3327	43.1056	2065597
weifang	CN	25	36.7100	119.1019	2044028
zunyi	CN	18	27.6867	106.9072	2037775
al basrah al qadimah	IQ	02	30.5032	47.8151	2015483
la paz	BO	04	-16.5000	-68.1500	2004652
lianyungang	CN	04	34.5984	119.2156	2001009
medellin	CO	02	6.2450	-75.5715	1999979
indore	IN	35	22.7179	75.8333	1994397
brazzaville	CG	12	-4.2661	15.2832	1982000
tashkent	UZ	13	41.2647	69.2163	1978028
ganzhou	CN	03	25.8466	114.9326	1977253
almaty	KZ	02	43.2525	76.9115	1977011
khartoum	SD	29	15.5518	32.5324	1974647
hamburg	DE	04	53.5507	9.9930	1973896
sapporo	JP	12	43.0667	141.3500	1973832
songjiang	CN	23	31.0344	121.2233	1973500
accra	GH	01	5.5560	-0.1969	1963264
curitiba	BR	18	-25.4278	-49.2731	1948626
ordos	CN	20	39.6086	109.7816	1940653
sanaa	YE	26	15.3545	44.2065	1937451
conakry	GN	04	9.5380	-13.6773	1928389
tijuana	MX	02	32.5027	-117.0037	1922523
hyderabad	PK	05	25.3969	68.3772	1921275
beirut	LB	04	33.8933	35.5016	1916100
tangerang	ID	33	-6.1781	106.6300	1912679
jieyang	CN	30	23.5418	116.3658	1899394
jilin	CN	05	43.8465	126.5608	1895865
jiading	CN	23	31.3858	121.2446	1886100
bucharest	RO	10	44.4323	26.1063	1877155
camayenne	GN	04	9.5350	-13.6878	1871242
kakamega	KE	20	0.2842	34.7523	1867579
shangqiu	CN	09	34.4143	115.6561	1859723
nanchong	CN	32	30.7951	106.0847	1858875
tainan	TW	04	22.9908	120.2133	1856642
datong	CN	24	40.0936	113.2914	1850000
kaduna	NG	23	10.5264	7.4388	1850000
omdurman	SD	29	15.6445	32.4777	1849659
davao	PH	11	7.0731	125.6128	1848947
thane	IN	16	19.1970	72.9635	1841488
iztapalapa	MX	09	19.3553	-99.0622	1835486
diyarbakir	TR	21	37.9136	40.2172	1833684
santa cruz de la sierra	BO	08	-17.7863	-63.1812	1831434
vadodara	IN	09	22.2994	73.2081	1822221
adana	TR	81	36.9862	35.3253	1816750
nanyang	CN	09	33.0052	112.5466	1811812
abu dhabi	AE	01	24.4512	54.3970	1807000
palembang	ID	32	-2.9167	104.7458	1801367
sharjah	AE	06	25.3342	55.4122	1800000
bhopal	IN	35	23.2547	77.4029	1798218
jiangmen	CN	30	22.5833	113.0833	1795459
benin city	NG	37	6.3381	5.6258	1782000
jiangyin	CN	04	31.9110	120.2630	1779515
fuyang	CN	01	32.9000	115.8167	1768947
montreal	CA	10	45.5088	-73.5878	1762949
bayan nur	CN	20	40.7414	107.3860	1760000
maracaibo	VE	23	10.6423	-71.6109	1752602
chaozhou	CN	30	23.6540	116.6226	1750945
minsk	BY	04	53.9002	27.5665	1742124
budapest	HU	05	47.4984	19.0404	1741041
qingyuan	CN	30	23.7000	113.0333	1738424
tai'an	CN	25	36.1853	117.1200	1735425
rasapudipalem	IN	02	17.7331	83.3162	1728128
pimpri-chinchwad	IN	16	18.6187	73.8037	1727692
caloocan	PH	NCR	14.6495	120.9679	1712945
warsaw	PL	78	52.2298	21.0118	1702139
soweto	ZA	06	-26.2678	27.8585	1695047
semarang	ID	07	-6.9931	110.4208	1694740
puebla	MX	21	19.0478	-98.2072	1692181
vienna	AT	09	48.2085	16.3721	1691468
barcelona	ES	56	41.3888	2.1590	1686208
patna	IN	34	25.5941	85.1356	1684297
mosul	IQ	15	36.3350	43.1189	1683000
kallakurichi	IN	25	11.7338	78.9592	1682687
kampala	UG	C	0.3163	32.5822	1680600
xining	CN	06	36.6255	101.7574	1677177
changshu	CN	04	31.6461	120.7422	1677050
huainan	CN	01	32.6264	116.9969	1666826
rabat	MA	04	34.0132	-6.8326	1655753
recife	BR	30	-8.0539	-34.8811	1653461
phoenix	US	AZ	33.4484	-112.0740	1650070
suzhou	CN	01	33.6361	116.9789	1647642
ecatepec de morelos	MX	15	19.6049	-99.0606	1645352
lu'an	CN	01	31.7356	116.5169	1644344
valencia	VE	07	10.1615	-68.0004	1619470
ludhiana	IN	23	30.9120	75.8538	1618879
yancheng	CN	04	33.3575	120.1573	1615717
novosibirsk	RU	53	55.0226	82.9317	1612833
erbil	IQ	11	36.1912	44.0094	1612700
fukuoka	JP	07	33.6000	130.4167	1612392
taizhou	CN	04	32.4907	119.9081	1607108
daqing	CN	08	46.5833	125.0000	1604027
manila	PH	NCR	14.6042	120.9822	1600000
wuhu	CN	01	31.3526	118.4295	1598165
santiago de queretaro	MX	22	20.5881	-100.3881	1594212
dazhou	CN	32	31.2106	107.4631	1589435
yangzhou	CN	04	32.3972	119.4358	1584237
leon de los aldama	MX	11	21.1218	-101.6825	1579803
makkah	SA	14	21.4266	39.8256	1578722
philadelphia	US	PA	39.9524	-75.1636	1573916
phnom penh	KH	22	11.5625	104.9160	1573544
guilin	CN	16	25.2802	110.2964	1572300
damascus	SY	13	33.5102	36.2913	1569394
quetta	PK	02	30.1841	67.0014	1565546
zhaoqing	CN	30	23.0489	112.4609	1553109
onitsha	NG	25	6.1498	6.7857	1553000
mianyang	CN	32	31.4678	104.6817	1550000
auckland	NZ	E7	-36.8485	174.7635	1547200
isfahan	IR	28	32.6525	51.6746	1547164
wanzhou	CN	33	30.7645	108.3959	1545900
harare	ZW	10	-17.8277	31.0534	1542813
monrovia	LR	14	6.3005	-10.7969	1542549
putian	CN	07	25.4394	119.0103	1539389
kawasaki	JP	19	35.5206	139.7172	1538262
goiania	BR	29	-16.6786	-49.2539	1536097
san antonio	US	TX	29.4241	-98.4936	1526656
kobe	JP	13	34.6913	135.1830	1525152
stockholm	SE	26	59.3294	18.0687	1515017
ciudad juarez	MX	06	31.7202	-106.4608	1512450
can tho	VN	92	10.0371	105.7883	1507187
munich	DE	02	48.1374	11.5755	1505005
khulna	BD	82	22.8098	89.5644	1500689
belem	BR	16	-1.4558	-48.5044	1499641
yekaterinburg	RU	71	56.8573	60.6153	1495066
porto alegre	BR	23	-30.0328	-51.2302	1488252
yinchuan	CN	21	38.4681	106.2731	1487579
manhattan	US	NY	40.7834	-73.9663	1487536
nashik	IN	16	19.9973	73.7910	1486053
taizhou	CN	02	28.6627	121.4331	1485502
asuncion	PY	22	-25.2865	-57.6470	1482200
yiwu	CN	02	29.3151	120.0768	1481384
zapopan	MX	14	20.7211	-103.3874	1476491
makassar	ID	38	-5.1486	119.4319	1474393
adelaide	AU	05	-34.9287	138.5986	1469163
quanzhou	CN	07	24.9139	118.5858	1469157
madurai	IN	25	9.9190	78.1195	1465625
jinhua	CN	02	29.1068	119.6442	1463990
kyoto	JP	22	35.0211	135.7538	1463723
cixi	CN	02	30.1764	121.2457	1457510
changde	CN	11	29.0321	111.6984	1457419
kuala lumpur	MY	14	3.1412	101.6865	1453975
kayseri	TR	38	38.7322	35.4853	1452458
kaifeng	CN	09	34.7986	114.3074	1451741
anshan	CN	19	41.1236	122.9900	1450000
karaj	IR	44	35.8327	50.9915	1448075
kathmandu	NP	3	27.7017	85.3206	1442271
daejeon	KR	19	36.3491	127.3849	1441203
baoji	CN	26	34.3678	107.2370	1437802
suqian	CN	04	33.9492	118.2958	1437685
liuzhou	CN	16	24.3240	109.4070	1436599
tirunelveli	IN	25	8.7274	77.6838	1435844
konya	TR	71	37.8713	32.4846	1433861
zhangjiagang	CN	04	31.8650	120.5389	1432044
agra	IN	36	27.1833	78.0167	1430055
tabriz	IR	33	38.0800	46.2919	1424641
kharkiv	UA	07	49.9818	36.2548	1421125
jinjiang	CN	07	24.8198	118.5742	1416151
faridabad	IN	10	28.4112	77.3132	1414050
bozhou	CN	01	33.8772	115.7703	1409436
qujing	CN	29	25.4833	103.7833	1408500
south tangerang	ID	33	-6.2886	106.7179	1404785
san diego	US	CA	32.7157	-117.1647	1404452
gwangju	KR	18	35.1547	126.9156	1401235
zhanjiang	CN	30	21.2339	110.3875	1400709
fushun	CN	19	41.8867	123.9436	1400646
rajkot	IN	09	22.2916	70.7932	1390640
luoyang	CN	09	34.6735	112.4368	1390581
guadalajara	MX	14	20.6774	-103.3475	1385629
the bronx	US	NY	40.8499	-73.8664	1385108
guankou	CN	11	28.1586	113.6271	1380000
hue	VN	46	16.4619	107.5955	1380000
milan	IT	09	45.4643	9.1895	1371498
najafgarh	IN	07	28.6092	76.9798	1365000
n'djamena	TD	21	12.1067	15.0444	1359526
handan	CN	10	36.6100	114.4876	1358318
bannu	PK	03	32.9853	70.6040	1357890
yichang	CN	12	30.7144	111.2847	1350150
antananarivo	MG	11	-18.9137	47.5361	1349501
heze	CN	25	35.2393	115.4736	1346717
abobo	CI	93	5.4161	-4.0159	1340083
jamshedpur	IN	38	22.8028	86.1855	1339438
douala	CM	05	4.0483	9.7043	1338082
antalya	TR	07	36.9081	30.6956	1335002
basrah	IQ	02	30.5085	47.7804	1326564
dallas	US	TX	32.7831	-96.8067	1326087
saitama	JP	34	35.9081	139.6566	1324854
gorakhpur	IN	10	29.4477	75.6721	1324570
niamey	NE	08	13.5137	2.1098	1323691
liupanshui	CN	18	26.5944	104.8333	1320825
taguig	PH	NCR	14.5243	121.0792	1308085
maoming	CN	30	21.6663	110.9136	1307802
calgary	CA	01	51.0501	-114.0853	1306784
tripoli	LY	77	32.8874	13.1873	1302947
callao	PE	07	-12.0516	-77.1345	1300000
madinah	SA	05	24.4686	39.6142	1300000
yaounde	CM	11	3.8667	11.5167	1299369
qinzhou	CN	16	21.9825	108.6506	1296300
luohe	CN	09	33.5742	114.0326	1294974
xiangyang	CN	12	32.0422	112.1448	1294733
yangjiang	CN	30	21.8556	111.9627	1292987
yixing	CN	04	31.3606	119.8202	1285785
pimpri	IN	16	18.6229	73.8070	1284606
da nang	VN	48	16.0678	108.2208	1276000
amman	JO	16	31.9552	35.9450	1275857
budta	PH	14	7.2042	124.4397	1273715
belgrade	RS	SE	44.8040	20.4651	1273651
bien hoa	VN	75	10.9447	106.8243	1272235
qingpu	CN	23	31.1539	121.1141	1271424
montevideo	UY	10	-34.9033	-56.1882	1270737
xuchang	CN	09	34.0319	113.8630	1265536
kalyan	IN	16	19.2437	73.1355	1262255
zigong	CN	32	29.3416	104.7769	1262064
nizhniy novgorod	RU	51	56.3287	44.0020	1259013
jepara	ID	07	-6.5924	110.6710	1257912
maputo	MZ	11	-25.9655	32.5832	1254837
xuzhou	CN	04	34.2044	117.2839	1253991
dammam	SA	06	26.4344	50.1033	1252523
ra's bayrut	LB	04	33.9000	35.4833	1251739
neijiang	CN	32	29.5835	105.0622	1251095
shiraz	IR	07	29.6103	52.5311	1249942
heshan	CN	11	28.5694	112.3473	1249807
dombivali	IN	16	19.2167	73.0833	1247327
kananga	CD	23	-5.8962	22.4166	1247168
kazan	RU	73	55.7887	49.1221	1243500
jining	CN	25	35.4050	116.5814	1241012
barquisimeto	VE	13	10.0647	-69.3570	1240714
shubra al khaymah	EG	12	30.1251	31.2505	1240289
putuo	CN	23	31.2510	121.3897	1239100
port-au-prince	HT	11	18.5435	-72.3388	1234742
suwon	KR	13	37.2911	127.0089	1234582
xinyang	CN	09	32.1228	114.0656	1230042
liaocheng	CN	25	36.4506	116.0025	1229768
jinzhong	CN	24	37.6840	112.7547	1226617
